chr1	3104532	3106569	Interval_6
chr1	3112882	3114101	Interval_7
chr1	4496089	4497424	Interval_24
chr1	4671052	4672382	Interval_29
chr1	4769828	4771824	Interval_41
chr1	4774389	4776139	Interval_42
chr1	4785039	4786415	Interval_44
chr1	4807073	4809188	Interval_47
chr1	4857034	4858882	Interval_49
chr1	4917839	4919387	Interval_60
chr1	4926431	4927096	Interval_61
chr1	5017899	5021107	Interval_65
chr1	5024775	5026478	Interval_66
chr1	5055193	5056345	Interval_67
chr1	5069614	5071771	Interval_69
chr1	5082420	5083799	Interval_71
chr1	5128183	5129777	Interval_75
chr1	5220419	5221567	Interval_84
chr1	5228900	5229747	Interval_85
chr1	6213974	6215655	Interval_106
chr1	6262268	6263706	Interval_110
chr1	6271572	6273248	Interval_112
chr1	6382446	6384001	Interval_125
chr1	6395163	6396037	Interval_127
chr1	6397125	6398012	Interval_128
chr1	6405508	6407452	Interval_130
chr1	6409783	6411797	Interval_131
chr1	6417447	6419797	Interval_134
chr1	6452839	6454779	Interval_139
chr1	6465960	6467635	Interval_142
chr1	6492661	6493366	Interval_150
chr1	6623681	6625399	Interval_161
chr1	6657154	6659818	Interval_165
chr1	6670988	6671528	Interval_167
chr1	6760039	6761841	Interval_175
chr1	6819974	6822308	Interval_178
chr1	6849512	6850069	Interval_181
chr1	6857752	6859628	Interval_182
chr1	6969187	6970184	Interval_192
chr1	7010078	7011631	Interval_199
chr1	7088021	7090563	Interval_202
chr1	7098466	7101191	Interval_204
chr1	7111037	7113993	Interval_208
chr1	7146606	7147666	Interval_213
chr1	7155090	7155696	Interval_214
chr1	7162762	7165820	Interval_215
chr1	7204465	7207133	Interval_221
chr1	7396708	7398970	Interval_230
chr1	7411124	7413362	Interval_231
chr1	9544942	9546690	Interval_278
chr1	9563313	9565401	Interval_281
chr1	9568823	9570557	Interval_283
chr1	9572899	9574237	Interval_284
chr1	9591673	9594423	Interval_288
chr1	9607465	9608608	Interval_290
chr1	9620540	9623009	Interval_294
chr1	9628509	9631700	Interval_295
chr1	9638411	9639892	Interval_298
chr1	9647739	9649923	Interval_300
chr1	9666197	9667765	Interval_304
chr1	9673383	9674991	Interval_305
chr1	9699664	9701541	Interval_308
chr1	9711137	9712593	Interval_310
chr1	9747059	9748834	Interval_316
chr1	9757504	9758963	Interval_319
chr1	9772269	9774429	Interval_323
chr1	9797031	9799367	Interval_331
chr1	9810269	9811349	Interval_336
chr1	9822491	9824264	Interval_339
chr1	9832965	9834101	Interval_343
chr1	9840937	9842523	Interval_344
chr1	9847114	9851287	Interval_345
chr1	9854541	9855796	Interval_346
chr1	9857273	9859949	Interval_347
chr1	9875806	9878619	Interval_349
chr1	9942854	9944701	Interval_365
chr1	9966922	9969369	Interval_372
chr1	9990726	9992581	Interval_378
chr1	9997399	9999437	Interval_379
chr1	10007040	10008108	Interval_383
chr1	10037451	10040499	Interval_389
chr1	10055886	10057099	Interval_391
chr1	10114526	10116998	Interval_399
chr1	10155075	10157397	Interval_410
chr1	10219672	10221272	Interval_420
chr1	10231569	10233641	Interval_423
chr1	10238705	10239900	Interval_424
chr1	10279121	10281102	Interval_436
chr1	10759497	10760194	Interval_451
chr1	10768707	10769913	Interval_452
chr1	10877144	10878234	Interval_462
chr1	10879683	10880655	Interval_463
chr1	11774256	11775451	Interval_480
